name,treatment,Init/Final tag,replicate,count,,,,,,,,,,,,,,,,,,,,,
Chlorella,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,c4
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,0
1yE,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,0
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,0
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,0
2yE,6,finial,1,y1,,,,,,,,,,,,,,,,,,,,,2
,1,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yB,1,finial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,1,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,1,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
1ya,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
1yd,1,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,1,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yD,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yc,0,finial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,1,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
1yb,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,1,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
2ya,0,finial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
1yc,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,1,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
control 5,0,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c1,1,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,1,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c2,1,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,2,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c3,0,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c4,0,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,2,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
1xd (clay),4,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,5,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,2,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,3,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
2xd,1,finial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,finial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,x4,,,,,,,,,,,,,,,,,,,,,
,2,finial,5,x5,,,,,,,,,,,,,,,,,,,,,
1xE,2,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,1,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,2,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
2xe,1,finial,1,x1,,,,,,,,,,,,,,,,,,,,,
,2,finial,2,x2,,,,,,,,,,,,,,,,,,,,,
,3,finial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,x5,,,,,,,,,,,,,,,,,,,,,
1xb,2,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,1,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,1,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
2xa,0,finial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,finial,2,x2,,,,,,,,,,,,,,,,,,,,,
,2,finial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,x5,,,,,,,,,,,,,,,,,,,,,
2xc,1,finial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,x2,,,,,,,,,,,,,,,,,,,,,
,1,finial,3,x3,,,,,,,,,,,,,,,,,,,,,
,2,finial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,x5,,,,,,,,,,,,,,,,,,,,,
2xb,0,finial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,x3,,,,,,,,,,,,,,,,,,,,,
,1,finial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,x5,,,,,,,,,,,,,,,,,,,,,
1xa,0,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,1,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,2,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
1xc,0,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
1yc,0,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,1,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,1,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,2,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
1xc,0,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,x5,,,,,,,,,,,,,,,,,,,,,
1yc,0,initial,1,x1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,x2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,x3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,x4,,,,,,,,,,,,,,,,,,,,,
,1,initial,5,x5,,,,,,,,,,,,,,,,,,,,,