Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2019,AQS,490530007,3,4.5,ug/m3 LC,19,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/2/2019,AQS,490530007,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/3/2019,AQS,490530007,3,5.1,ug/m3 LC,21,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/4/2019,AQS,490530007,3,5,ug/m3 LC,21,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/5/2019,AQS,490530007,3,7.8,ug/m3 LC,33,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/6/2019,AQS,490530007,3,1.4,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/7/2019,AQS,490530007,3,2.5,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/8/2019,AQS,490530007,3,2,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/9/2019,AQS,490530007,3,3.3,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/10/2019,AQS,490530007,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/11/2019,AQS,490530007,3,2.7,ug/m3 LC,11,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/12/2019,AQS,490530007,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/13/2019,AQS,490530007,3,4.3,ug/m3 LC,18,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/14/2019,AQS,490530007,3,2.5,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/15/2019,AQS,490530007,3,0.7,ug/m3 LC,3,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/16/2019,AQS,490530007,3,2,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/17/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/18/2019,AQS,490530007,3,1,ug/m3 LC,4,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/19/2019,AQS,490530007,3,1.1,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/20/2019,AQS,490530007,3,4.4,ug/m3 LC,18,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/21/2019,AQS,490530007,3,0.5,ug/m3 LC,2,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/22/2019,AQS,490530007,3,0.4,ug/m3 LC,2,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/23/2019,AQS,490530007,3,1.8,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/24/2019,AQS,490530007,3,3,ug/m3 LC,13,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/25/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/26/2019,AQS,490530007,3,2,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/27/2019,AQS,490530007,3,1.5,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/28/2019,AQS,490530007,3,2.1,ug/m3 LC,9,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/29/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/30/2019,AQS,490530007,3,3.6,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
1/31/2019,AQS,490530007,3,3.8,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/1/2019,AQS,490530007,3,3.1,ug/m3 LC,13,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/2/2019,AQS,490530007,3,3.3,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/3/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/4/2019,AQS,490530007,3,1.5,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/5/2019,AQS,490530007,3,1,ug/m3 LC,4,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/6/2019,AQS,490530007,3,0.8,ug/m3 LC,3,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/7/2019,AQS,490530007,3,1.4,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/8/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/9/2019,AQS,490530007,3,1.3,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/10/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/11/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/12/2019,AQS,490530007,3,1.8,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/13/2019,AQS,490530007,3,1.7,ug/m3 LC,7,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/14/2019,AQS,490530007,3,1.3,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/15/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/16/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/17/2019,AQS,490530007,3,0.6,ug/m3 LC,3,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/18/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/19/2019,AQS,490530007,3,2.7,ug/m3 LC,11,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/20/2019,AQS,490530007,3,2.3,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/21/2019,AQS,490530007,3,1.7,ug/m3 LC,7,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/22/2019,AQS,490530007,3,3.4,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/23/2019,AQS,490530007,3,4,ug/m3 LC,17,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/24/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/25/2019,AQS,490530007,3,3.3,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/26/2019,AQS,490530007,3,2.5,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/27/2019,AQS,490530007,3,2.5,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
2/28/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/1/2019,AQS,490530007,3,2.3,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/2/2019,AQS,490530007,3,2.9,ug/m3 LC,12,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/3/2019,AQS,490530007,3,0.5,ug/m3 LC,2,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/4/2019,AQS,490530007,3,0.2,ug/m3 LC,1,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/5/2019,AQS,490530007,3,0.7,ug/m3 LC,3,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/6/2019,AQS,490530007,3,1.9,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/7/2019,AQS,490530007,3,3.7,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/8/2019,AQS,490530007,3,1.7,ug/m3 LC,7,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/9/2019,AQS,490530007,3,1.9,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/10/2019,AQS,490530007,3,2.3,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/11/2019,AQS,490530007,3,2.1,ug/m3 LC,9,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/12/2019,AQS,490530007,3,1.9,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
3/13/2019,AQS,490530007,3,0.7,ug/m3 LC,3,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
4/26/2019,AQS,490530007,3,3.5,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
4/27/2019,AQS,490530007,3,7.2,ug/m3 LC,30,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
4/28/2019,AQS,490530007,3,4.7,ug/m3 LC,20,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
4/29/2019,AQS,490530007,3,3.3,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
4/30/2019,AQS,490530007,3,2.3,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/1/2019,AQS,490530007,3,1.9,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/2/2019,AQS,490530007,3,3.6,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/3/2019,AQS,490530007,3,3.5,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/4/2019,AQS,490530007,3,3.9,ug/m3 LC,16,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/5/2019,AQS,490530007,3,4.2,ug/m3 LC,18,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/6/2019,AQS,490530007,3,4.1,ug/m3 LC,17,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/7/2019,AQS,490530007,3,3.6,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/8/2019,AQS,490530007,3,3.1,ug/m3 LC,13,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/9/2019,AQS,490530007,3,2.7,ug/m3 LC,11,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/10/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/11/2019,AQS,490530007,3,3.7,ug/m3 LC,15,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/12/2019,AQS,490530007,3,3,ug/m3 LC,13,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/13/2019,AQS,490530007,3,4,ug/m3 LC,17,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/14/2019,AQS,490530007,3,4.9,ug/m3 LC,20,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/15/2019,AQS,490530007,3,4.5,ug/m3 LC,19,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/16/2019,AQS,490530007,3,4.5,ug/m3 LC,19,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/17/2019,AQS,490530007,3,2.1,ug/m3 LC,9,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/18/2019,AQS,490530007,3,1.4,ug/m3 LC,6,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/19/2019,AQS,490530007,3,2.4,ug/m3 LC,10,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/20/2019,AQS,490530007,3,1,ug/m3 LC,4,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/21/2019,AQS,490530007,3,1.2,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/22/2019,AQS,490530007,3,1.3,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/23/2019,AQS,490530007,3,1.1,ug/m3 LC,5,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/24/2019,AQS,490530007,3,1.7,ug/m3 LC,7,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/25/2019,AQS,490530007,3,2,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/26/2019,AQS,490530007,3,3.3,ug/m3 LC,14,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/27/2019,AQS,490530007,3,2.8,ug/m3 LC,12,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/28/2019,AQS,490530007,3,1.9,ug/m3 LC,8,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
5/29/2019,AQS,490530007,3,2.2,ug/m3 LC,9,,1,100,88101,PM2.5 - Local Conditions,41100,"St. George, UT",49,Utah,53,Washington,37.179125,-113.305096
