Date,TMAX
200601,58.1
200602,59
200603,54.7
200604,59.4
200605,64.4
200606,69.2
200607,74.2
200608,70.8
200609,68.8
200610,65.9
200611,63.6
200612,57.3
200701,54.5
200702,57.5
200703,60
200704,60.1
200705,62.1
200706,64.8
200707,69.9
200708,71.3
200709,68.3
200710,66.3
200711,61.5
200712,55.8
200801,55.9
200802,56.8
200803,60.1
200804,62.7
200805,64.1
200806,68.4
200807,69.8
200808,70
200809,68.6
200810,68.9
200811,64
200812,54.9
200901,60.1
200902,56.2
200903,57.7
200904,60.2
200905,63.9
200906,65
200907,68.4
200908,68.8
200909,69.9
200910,65
200911,61.5
200912,56.2
201001,58.4
201002,57.5
201003,59.8
201004,58.5
201005,61
201006,64.6
201007,65.7
201008,65.8
201009,66.8
201010,65.6
201011,61.4
201012,58.2
201101,59.2
201102,55.3
201103,57.9
201104,61.8
201105,62.4
201106,63.8
201107,68.3
201108,67.6
201109,66.9
201110,64.5
201111,59.1
201112,55
201201,59.4
201202,57.1
201203,57.1
201204,59.7
201205,63.1
201206,65.3
201207,66.6
201208,72.2
201209,72.2
201210,69
201211,62.7
201212,56.6
201301,56.5
201302,56.1
201303,59.2
201304,62.1
201305,66.5
201306,67.9
201307,69
201308,68.6
201309,70.1
201310,65.7
201311,64.1
201312,59
201401,61.3
201402,59.7
201403,62.3
201404,62.6
201405,68.9
201406,67.6
201407,71.8
201408,71.2
201409,73
201410,70
201411,64.9
201412,58.2
201501,59.8
201502,61
201503,64.5
201504,62.2
201505,61
201506,66.3
201507,70.3
201508,72.8
201509,75.1
201510,74
201511,62.2
201512,57.3
201601,57
201602,63
201603,60.5
201604,63.5
201605,62.8
201606,66.9
201607,71.6
201608,70.6
201609,71.1
201610,68.3
201611,65.3