,Store,U.B. / Bagged,Sample #,Point 1,Point 2,Point 3,Point 4,Average
Cardenas U.B. #1,Cardenas,UB,1,5,10,12,13,10
Cardenas U.B. #2,Cardenas,UB,2,32,52,38,11,33.25
Cardenas B. #1,Cardenas,BG,1,70,62,84,103,79.75
Cardenas B. #2,Cardenas,BG,2,37,32,30,42,35.25
El Super U.B. #1,El Super,UB,1,76,29,24,18,36.75
El Super U.B. #2,El Super,UB,2,38,44,32,36,37.5
El Super B. #1,El Super,BG,1,37,31,36,33,34.25
El Super B. #2,El Super,BG,2,53,52,52,39,49
Sprouts U.B. #1,Sprouts,UB,1,31,34,19,32,29
Sprouts U.B. #2,Sprouts,UB,2,54,20,66,15,38.75
Sprouts B. #1,Sprouts,BG,1,36,45,51,52,46
Sprouts B. #2,Sprouts,BG,2,28,19,20,34,25.25
Stater Bros U.B. #1,Stater Bros,UB,1,33,45,37,51,41.5
Stater Bros U.B. #2,Stater Bros,UB,2,47,24,34,29,33.5
Stater Bros B. #1,Stater Bros,BG,1,21,58,28,20,31.75
Stater Bros B. #2,Stater Bros,BG,2,28,22,36,27,28.25
Super King U.B. #1,Super King,UB,1,10,26,23,34,23.25
Super King U.B. #2,Super King,UB,2,57,21,33,66,44.25
Super King B. #1,Super King,BG,1,22,24,26,27,24.75
Super King B. #2,Super King,BG,2,46,41,45,39,42.75
Blank #1,Blank,Blank,1,18,10,55,31,28.5
Blank #2,Blank,Blank,2,28,27,8,12,18.75
Blank #3,Blank,Blank,3,24,46,25,13,27